Exchange Name,Exchange Acronym,Exchange Mic Code,Country,Currency,Time Zone,Open Time,Close Time
Credit Suisse Ag - London Branch,CSAGLB SI,CSLB,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Cboe Europe - Apa (nl),CBOE EU OFF EXCHANGE,CAPA,Netherlands,Euro,Europe/Amsterdam, 09:00, 17:40
Cme  Europe,CME,CMEE,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Continental Capital Markets Limited - Otf,CONTICAP OTF,CCML,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Tokyo Stock Exchange,TSE,XTKS,Japan,Japanese Yen,Asia/Tokyo, 09:00, 15:00
Icbc Standard Bank - Systematic Internaliser,ICBCS,ISSI,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Pjsc National Depository Of Ukraine,PJSC NDU,XNDU,Ukraine,Ukrainian Hryvnia,Europe/Kiev, 10:00, 17:30
State Street Bank International Fx - London Branch - Systematic Internaliser,SSIL,SSIL,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Hpc Etrading,HPC,HPCO,France,Euro,Europe/Paris, 09:00, 17:30
Nos Clearing Asa,NOS,NOSC,Norway,Norwegian Krone,Europe/Copenhagen, 09:00, 17:00
Barclays Single Dealer Platform,BBOK,BBOK,United States,United States Dollar,America/New_York, 09:30, 16:00
London Stock Exchange,LSE,XLON,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Morgan Stanley Europe S.e.,MSEU,MSEU,Germany,Euro,Europe/Berlin, 08:00, 20:00
Cboe C2 Options Exchange,C2OX,C2OX,United States,United States Dollar,America/New_York, 09:30, 16:00
Shanghai Gold Exchange,SGE,SGEX,China,Chinese Yuan,Asia/Shanghai, 09:30, 15:00
Posit Auction,AUCTIONS,XPAC,Ireland,Euro,Europe/Dublin, 08:00, 16:30
"Long-term Stock Exchange, Inc.",LTSE,LTSE,United States,United States Dollar,America/New_York, 09:30, 16:00
Liquidnet Europe Limited,LIQU,LIQF,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Crypto Facilities,CF,CRYP,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Louis Capital Markets Uk Llp,LCM,LOUI,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Abide Financial Drsp Limited Apa,AFDLAPA,AFDL,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Mbank S.a. - Systematic Internaliser,MBANK,MBPL,Poland,Polish Zloty,Europe/Warsaw, 09:00, 17:35
Mariana Ufp Llp,MUFP,MUFP,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Bse Ltd,MSE,XBOM,India,Indian Rupee,Asia/Kolkata, 09:15, 15:30
Virtu Financial Bd,VEQ,VIRT,United States,United States Dollar,America/New_York, 09:30, 16:00
Posit Mtf,POSIT,ITGL,Ireland,Euro,Europe/Dublin, 08:00, 16:30
Mufg Bank (europe) N.v. - Systematic Internaliser,MUBE SI,MUBE,Netherlands,Euro,Europe/Amsterdam, 09:00, 17:40
Deal Done Trading - Systematic Internaliser,DDT,DDTX,Italy,Euro,Europe/Rome, 09:00, 17:25
Six Swiss Exchange - Ebbo Book,SIX,XSEB,Switzerland,Swiss Franc,Europe/Zurich, 09:00, 17:30
China Foreign Exchange Trade System,CFETS,XCFE,China,Chinese Yuan,Asia/Shanghai, 09:30, 15:00
Six Swiss Exchange - Deal Pool - Book Building And Announcement Platform,SIX,XDLP,Switzerland,Swiss Franc,Europe/Zurich, 09:00, 17:30
Cboe Europe - Regulated Market Off Book (nl),CBOE EU REGM OFF BOOK,BEUO,Netherlands,Euro,Europe/Amsterdam, 09:00, 17:40
Raiffeisen Centrobank Ag - Systematic Internaliser,RCB,XRCB,Austria,Euro,Europe/Vienna, 08:55, 17:35
Bank Of America Merrill Lynch International Bank Designated Activity Company - Systematic Internaliser,BAMLI DAC,BMLS,Ireland,Euro,Europe/Dublin, 08:00, 16:30
Sydney Stock Exchange Limited,SSX,APXL,Australia,Australian Dollar,Australia/Melbourne, 10:00, 16:00
India International Exchange (ifsc) Limited,INDIA INX,IINX,India,Indian Rupee,Asia/Kolkata, 09:15, 15:30
"Clear Markets North America, Inc.",CM SEF,CMSF,United States,United States Dollar,America/New_York, 09:30, 16:00
Irish Stock Exchange - All Market,ISE,XDUB,Ireland,Euro,Europe/Dublin, 08:00, 16:30
Blue Ocean Alternative Trading System,BOATS,OCEA,United States,United States Dollar,America/New_York, 09:30, 16:00
Lbbw - Landesbank Baden-wuerttemberg,LLBW,LBBW,Germany,Euro,Europe/Berlin, 08:00, 20:00
Electronic Share Market,MTA,MTAA,Italy,Euro,Europe/Rome, 09:00, 17:25
"Mufg Bank, Ltd. - London Branch -systematic Internaliser",MUBL SI,MUBL,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Merrill Lynch International,MLI,MLIX,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Off Exchange Identifier For Otc Trades Reported To Cboe Europe,CBOE OFF EXCHANGE,BOTC,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Berenberg Fx - Systematic Internaliser,BGFX,BGFX,Germany,Euro,Europe/Berlin, 08:00, 20:00
Coda Markets - Micro And Block,CODA,CODA,United States,United States Dollar,America/New_York, 09:30, 16:00
Mitsubishi Ufj Trust International Limited,MUTI,MUTI,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Irish Stock Exchange  - Global Exchange Market,ISE GEM,XEYE,Ireland,Euro,Europe/Dublin, 08:00, 16:30
Scottish Stock Exchange,SSX,SCOT,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Jp Morgan - Jpmi Market,JPMI,JPMI,Hong Kong,Hong Kong Dollar,Asia/Hong_Kong, 09:20, 16:00
Six Swiss Exchange - Etf Qod,SIX,XQOD,Switzerland,Swiss Franc,Europe/Zurich, 09:00, 17:30
Cboe Europe - Regulated Market Off Book,CBOE  REGM OFF BOOK,BARO,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Berenberg - Systematic Internaliser Uk,BGUK,BGUK,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Vertical,VERT,VERT,United States,United States Dollar,America/New_York, 09:30, 16:00
State Street Bank International Gmbh,SSBI,SSBI,Germany,Euro,Europe/Berlin, 08:00, 20:00
London Stock Exchange - Mtf,LSE,XLOM,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Luminex Trading & Analytics Llc - Ats,LMNX,LMNX,United States,United States Dollar,America/New_York, 09:30, 16:00
Cboe Byx U.s. Equities Exchange Dark,BYXDARK,BYXD,United States,United States Dollar,America/New_York, 09:30, 16:00
Brokertec Americas Llc - Rfq Platform,US QUOTE,BTEQ,United States,United States Dollar,America/New_York, 09:30, 16:00
Bofa Securities Europe - Systematic Internaliser,BOFASE,MLES,France,Euro,Europe/Paris, 09:00, 17:30
Tullett Prebon Eu Otf - Registration,TPIE,TPER,France,Euro,Europe/Paris, 09:00, 17:30
Cboe Edga U.s. Equities Exchange,EDGA,EDGA,United States,United States Dollar,America/New_York, 09:30, 16:00
Natwest Markets Nv,NWM NV,NWNV,Netherlands,Euro,Europe/Amsterdam, 09:00, 17:40
Cboe Australia Mid-point Venue,CXA,CXAP,Australia,Australian Dollar,Australia/Melbourne, 10:00, 16:00
Henex Financial Energy Market - Derivatives Market,HENEX,HEDE,Greece,Euro,Europe/Athens, 10:15, 17:20
Helex Electronic Book Building,EBB,XIPO,Greece,Euro,Europe/Athens, 10:15, 17:20
Mts Italia,MTS ITALY,MTSC,Italy,Euro,Europe/Rome, 09:00, 17:25
Govex,GOVEX,GOVX,United States,United States Dollar,America/New_York, 09:30, 16:00
Unipol Banca S.p.a.,UBIS,UBIS,Italy,Euro,Europe/Rome, 09:00, 17:25
Bmo Capital Markets Limited,ST,BMCM,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Athens Exchange S.a. Cash Market,ATHEXC,XATH,Greece,Euro,Europe/Athens, 10:15, 17:20
Virtu Financial Capital Markets Llc,VFCM,VFCM,United States,United States Dollar,America/New_York, 09:30, 16:00
Berenberg - Systematic - Internaliser,BBSI,BGSI,Germany,Euro,Europe/Berlin, 08:00, 20:00
Bet Otc Bilat Commodity Derivatives,BET,BETX,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Chicago Board Of Trade,CBOT,XCBT,United States,United States Dollar,America/New_York, 09:30, 16:00
Barclays Bank Plc,BBPLC,BPLC,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Dalian Commodity Exchange,DCE,XDCE,China,Chinese Yuan,Asia/Shanghai, 09:30, 15:00
Bulgarian Stock Exchange,BSE,XBUL,Bulgaria,Bulgarian Lev,Europe/Sofia, 10:10, 16:55
Six Swiss Exchange,SIX,XSWX,Switzerland,Swiss Franc,Europe/Zurich, 09:00, 17:30
"Acs Execution Services, Llc",GLPX,GLPX,United States,United States Dollar,America/New_York, 09:30, 16:00
Plus Derivatives Exchange,PLUS-DX,PLDX,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Index And Options Market,IOM,XIOM,United States,United States Dollar,America/New_York, 09:30, 16:00
Barclays Bank Ireland Plc,BBI,BBIE,Ireland,Euro,Europe/Dublin, 08:00, 16:30
Credit Agricole Cib - Systematic Internaliser,CACIB SI,AACA,France,Euro,Europe/Paris, 09:00, 17:30
Brokertec Europe Limited - All Markets,BEM,BTEE,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Cboe Europe Derivatives,CBOE NL CEDX,CEDX,Netherlands,Euro,Europe/Amsterdam, 09:00, 17:40
The Property Investment Exchange,PROPEX,TPIE,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Virtu Americas Llc,VAL,VUSA,United States,United States Dollar,America/New_York, 09:30, 16:00
Warsaw Stock Exchange - Other Than Xoff Or Xxxx,WSE,WIPO,Poland,Polish Zloty,Europe/Warsaw, 09:00, 17:35
Universal Barter Exchange Credit Union,UBECU,UBEC,United States,United States Dollar,America/New_York, 09:30, 16:00
Labuan International Financial Exchange,LFX,XLFX,Malaysia,Malaysian Ringgit,Asia/Kuala_Lumpur, 09:00, 17:00
Exane Bnp Paribas - Systematic Internaliser,EXSE,EXSE,France,Euro,Europe/Paris, 09:00, 17:30
Cboe Europe - Regulated Market Dark Book (nl),CBOE EU REGM DARK,BARU,Netherlands,Euro,Europe/Amsterdam, 09:00, 17:40
Canadian Securities Exchange - Pure,CSE-PURE,PURE,Canada,Canadian Dollar,America/Montreal, 09:30, 16:00
Inter-connected Stock Exchange Of India Ltd,ISE,ISEX,India,Indian Rupee,Asia/Kolkata, 09:15, 15:30
Sigma X Hong Kong,GSET,SIGH,Hong Kong,Hong Kong Dollar,Asia/Hong_Kong, 09:20, 16:00
European Energy Exchange - Non-mtf Market,EEX,XEEO,Germany,Euro,Europe/Berlin, 08:00, 20:00
Hpc Energy Trading,HPC,HPCS,France,Euro,Europe/Paris, 09:00, 17:30
Six Swiss Exchange - Structured Products,SIX,XQMH,Switzerland,Swiss Franc,Europe/Zurich, 09:00, 17:30
"Liquidnet, Inc. Fixed Income Ats",LQNF,LIFI,United States,United States Dollar,America/New_York, 09:30, 16:00
Derivatives Regulated Market - Bvb,REGF,XBSD,Romania,Romanian Leu,Europe/Bucharest, 10:00, 17:45
Cboe Europe - Bxe Dark Order Book,CBOE DARK,BATD,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Natural Gas Exchange,NGX,NGXC,Canada,Canadian Dollar,America/Montreal, 09:30, 16:00
Credem Banca - Systematic Internaliser,CREDEM SI,CREM,Italy,Euro,Europe/Rome, 09:00, 17:25
Virtu Financial Ireland Limited,VFIL,VFIL,Ireland,Euro,Europe/Dublin, 08:00, 16:30
Cantor Financial Futures Exchange,CANTOR,XCFF,United States,United States Dollar,America/New_York, 09:30, 16:00
Credit Suisse Ag - Ohs,CSA OHS,CSOT,Switzerland,Swiss Franc,Europe/Zurich, 09:00, 17:30
Bnp Paribas Arbitrage Snc - Systematic Internaliser,BNPP A SI,BNPA,France,Euro,Europe/Paris, 09:00, 17:30
Abbey National Treasury Services Plc - Systematic Internaliser,ANTS,ANTS,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Neo Exchange - Neo-n (market By Price),NEO-N,NEON,Canada,Canadian Dollar,America/Montreal, 09:30, 16:00
"Dbot Ats, Llc",DBOT,TSBX,United States,United States Dollar,America/New_York, 09:30, 16:00
Abg Sundal Collier Asa - Systematic Internaliser,ABG,XABG,Norway,Norwegian Krone,Europe/Copenhagen, 09:00, 17:00
Tradition Paris - Tsaf,TSAF,TDON,France,Euro,Europe/Paris, 09:00, 17:30
Electronic Secondary Securities Market (hdat),HDAT,HDAT,Greece,Euro,Europe/Athens, 10:15, 17:20
Global Coal Limited,GLOBALCOAL,XGCL,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
E-exchange,EEXCHANGE,SSTX,United States,United States Dollar,America/New_York, 09:30, 16:00
London Stock Exchange - Apa,LSE APA,ECHO,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Enclear,ENC,ENCL,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
Tsx Venture Exchange - Drk,TSXV DRK,VDRK,Canada,Canadian Dollar,America/Montreal, 09:30, 16:00
Level Ats,LEVEL,LEVL,United States,United States Dollar,America/New_York, 09:30, 16:00
B3 S.a. - Brasil Bolsa Balcao,B3,BVMF,Brazil,Brazilian Real,America/Sao_Paulo, 09:30, 16:30
"Mufg Bank, Ltd. - Milano Branch - Systematic Internaliser",MUBM SI,MUBM,Italy,Euro,Europe/Rome, 09:00, 17:25
Bank Handlowy W Warszawie S.a. - Systematic Internaliser,BHW SI,BHWA,Poland,Polish Zloty,Europe/Warsaw, 09:00, 17:35
Evolution Markets,EVOL,EVOL,United Kingdom,British Pound Sterling,Europe/London, 08:00, 16:00
